,Instrument,Price Close
2004-11-10,.SPXTR,1722.6681
2004-11-11,.SPXTR,1738.3194
2004-11-12,.SPXTR,1754.3343
2004-11-15,.SPXTR,1753.991
2004-11-16,.SPXTR,1741.7178
2004-11-17,.SPXTR,1751.5652
2004-11-18,.SPXTR,1753.9729
2004-11-19,.SPXTR,1734.4525
2004-11-22,.SPXTR,1744.7068
2004-11-23,.SPXTR,1744.3122
2004-11-24,.SPXTR,1751.5541
2004-11-24,.SPXTR,1751.5541
2004-11-26,.SPXTR,1753.0921
2004-11-29,.SPXTR,1747.3358
2004-11-30,.SPXTR,1740.3266
2004-12-01,.SPXTR,1766.9033
2004-12-03,.SPXTR,1766.6271
2004-12-07,.SPXTR,1745.8347
2004-12-08,.SPXTR,1754.7475
2004-12-09,.SPXTR,1764.3501
2004-12-10,.SPXTR,1762.5118
2004-12-13,.SPXTR,1778.5384
2004-12-14,.SPXTR,1785.5104
2004-12-15,.SPXTR,1789.1426
2004-12-16,.SPXTR,1785.513
2004-12-17,.SPXTR,1772.1881
2004-12-20,.SPXTR,1772.8686
2004-12-21,.SPXTR,1788.9293
2004-12-22,.SPXTR,1795.6626
2004-12-23,.SPXTR,1796.4939
2004-12-27,.SPXTR,1788.7597
2004-12-28,.SPXTR,1801.5801
2004-12-29,.SPXTR,1801.7102
2004-12-30,.SPXTR,1801.9772
2004-12-31,.SPXTR,1799.5477
2005-01-03,.SPXTR,1784.9561
2005-01-04,.SPXTR,1764.3025
2005-01-05,.SPXTR,1758.0673
2005-01-06,.SPXTR,1764.6263
2005-01-07,.SPXTR,1762.123
2005-01-10,.SPXTR,1768.1661
2005-01-11,.SPXTR,1757.5057
2005-01-12,.SPXTR,1764.717
2005-01-13,.SPXTR,1749.4809
2005-01-14,.SPXTR,1759.9832
2005-01-18,.SPXTR,1777.0347
2005-01-19,.SPXTR,1760.2844
2005-01-20,.SPXTR,1746.6105
2005-01-21,.SPXTR,1735.4246
2005-01-24,.SPXTR,1729.3305
2005-01-25,.SPXTR,1736.25
2005-01-26,.SPXTR,1744.7188
